TRAITID	SORT	TRAIT	plat	SHORTNAME	id
140	7099	rs2291702:chr5:35033706 AGXT2	DNA	DNA: rs2291702:chr5:35033706 AGXT2	DNA: rs2291702:chr5:35033706 AGXT2
141	7100	rs9266630:chr6:31346869 ZDHHC20P2	DNA	DNA: rs9266630:chr6:31346869 ZDHHC20P2	DNA: rs9266630:chr6:31346869 ZDHHC20P2
142	7101	rs7950370:chr11:114411343 NXPE1;NXPE2P1;NXPE4;RP11-212D19.5	DNA	DNA: rs7950370:chr11:114411343 NXPE1;NXPE2P1;NXPE4;RP11-212D19.5	DNA: rs7950370:chr11:114411343 NXPE1;NXPE2P1;NXPE4;RP11-212D19.5
143	7102	rs55878528:chr8:67365581 ADHFE1	DNA	DNA: rs55878528:chr8:67365581 ADHFE1	DNA: rs55878528:chr8:67365581 ADHFE1
144	7103	rs200976483:chr5:38853622 OSMR	DNA	DNA: rs200976483:chr5:38853622 OSMR	DNA: rs200976483:chr5:38853622 OSMR
145	7104	rs872629:chr19:52130638 AC018755.18	DNA	DNA: rs872629:chr19:52130638 AC018755.18	DNA: rs872629:chr19:52130638 AC018755.18
146	7105	rs6778559:chr3:46493078 LTF	DNA	DNA: rs6778559:chr3:46493078 LTF	DNA: rs6778559:chr3:46493078 LTF
147	7106	rs2734331:chr6:31930351 EHMT2;NEU1;SKIV2L	DNA	DNA: rs2734331:chr6:31930351 EHMT2;NEU1;SKIV2L	DNA: rs2734331:chr6:31930351 EHMT2;NEU1;SKIV2L
148	7107	rs1800450:chr10:54531235 MBL2	DNA	DNA: rs1800450:chr10:54531235 MBL2	DNA: rs1800450:chr10:54531235 MBL2
149	7108	rs78355601:chr6:43924763 -	DNA	DNA: rs78355601:chr6:43924763 -	DNA: rs78355601:chr6:43924763 -
15	7109	rs12118043:chr1:161646824 FCGR2B	DNA	DNA: rs12118043:chr1:161646824 FCGR2B	DNA: rs12118043:chr1:161646824 FCGR2B
150	7110	rs2736161:chr6:31598293 ABHD16A;APOM;BAG6;C6orf47;GPANK1;LY6G5B;LY6G5C;PRRC2A;VARS;XXbac-BPG32J3.19;XXbac-BPG32J3.22	DNA	DNA: rs2736161:chr6:31598293 ABHD16A;APOM;BAG6;C6orf47;GPANK1;LY6G5B;LY6G5C;PRRC2A;VARS;XXbac-BPG32J3.19;XXbac-BPG32J3.22	DNA: rs2736161:chr6:31598293 ABHD16A;APOM;BAG6;C6orf47;GPANK1;LY6G5B;LY6G5C;PRRC2A;VARS;XXbac-BPG32J3.19;XXbac-BPG32J3.22
151	7111	rs4778730:chr15:79253321 CTSH;RASGRF1	DNA	DNA: rs4778730:chr15:79253321 CTSH;RASGRF1	DNA: rs4778730:chr15:79253321 CTSH;RASGRF1
152	7112	rs3896287:chr19:54774976 AC010492.5;LILRB2	DNA	DNA: rs3896287:chr19:54774976 AC010492.5;LILRB2	DNA: rs3896287:chr19:54774976 AC010492.5;LILRB2
153	7113	rs2028002:chr9:136303253 ADAMTS13	DNA	DNA: rs2028002:chr9:136303253 ADAMTS13	DNA: rs2028002:chr9:136303253 ADAMTS13
154	7114	rs10142224:chr14:106008645 ATP5G1P1;ELK2BP	DNA	DNA: rs10142224:chr14:106008645 ATP5G1P1;ELK2BP	DNA: rs10142224:chr14:106008645 ATP5G1P1;ELK2BP
155	7115	rs2280774:chr6:31928691 SKIV2L;CYP21A2;NELFE;STK19;TNXB;XXbac-BPG116M5.17	DNA	DNA: rs2280774:chr6:31928691 SKIV2L;CYP21A2;NELFE;STK19;TNXB;XXbac-BPG116M5.17	DNA: rs2280774:chr6:31928691 SKIV2L;CYP21A2;NELFE;STK19;TNXB;XXbac-BPG116M5.17
156	7116	rs6894414:chr5:55252495 AC008914.1;FLJ31104;IL6ST;snoU13	DNA	DNA: rs6894414:chr5:55252495 AC008914.1;FLJ31104;IL6ST;snoU13	DNA: rs6894414:chr5:55252495 AC008914.1;FLJ31104;IL6ST;snoU13
157	7117	rs10020631:chr4:69353863 TMPRSS11E;UGT2B29P	DNA	DNA: rs10020631:chr4:69353863 TMPRSS11E;UGT2B29P	DNA: rs10020631:chr4:69353863 TMPRSS11E;UGT2B29P
158	7118	rs12317268:chr12:21352541 SLCO1A2;SLCO1B1	DNA	DNA: rs12317268:chr12:21352541 SLCO1A2;SLCO1B1	DNA: rs12317268:chr12:21352541 SLCO1A2;SLCO1B1
159	7119	rs8140182:chr22:46691400 CELSR1;GTSE1;TRMU;TTC38	DNA	DNA: rs8140182:chr22:46691400 CELSR1;GTSE1;TRMU;TTC38	DNA: rs8140182:chr22:46691400 CELSR1;GTSE1;TRMU;TTC38
16	7120	rs616114:chr18:29797921 GAREM1;MEP1B	DNA	DNA: rs616114:chr18:29797921 GAREM1;MEP1B	DNA: rs616114:chr18:29797921 GAREM1;MEP1B
160	7121	rs2012683:chr1:85841485 DDAH1	DNA	DNA: rs2012683:chr1:85841485 DDAH1	DNA: rs2012683:chr1:85841485 DDAH1
161	7122	rs5130:chr11:116703146 APOA1;APOC3	DNA	DNA: rs5130:chr11:116703146 APOA1;APOC3	DNA: rs5130:chr11:116703146 APOA1;APOC3
162	7123	rs62299466:chr4:69366530 TMPRSS11E;UGT2B29P	DNA	DNA: rs62299466:chr4:69366530 TMPRSS11E;UGT2B29P	DNA: rs62299466:chr4:69366530 TMPRSS11E;UGT2B29P
163	7124	rs453755:chr19:54809343 AC008984.5;AC008984.7;AC010518.3	DNA	DNA: rs453755:chr19:54809343 AC008984.5;AC008984.7;AC010518.3	DNA: rs453755:chr19:54809343 AC008984.5;AC008984.7;AC010518.3
164	7125	rs4150575:chr11:18356466 GTF2H1;HPS5	DNA	DNA: rs4150575:chr11:18356466 GTF2H1;HPS5	DNA: rs4150575:chr11:18356466 GTF2H1;HPS5
165	7126	rs288326:chr2:183703336 FRZB	DNA	DNA: rs288326:chr2:183703336 FRZB	DNA: rs288326:chr2:183703336 FRZB
166	7127	rs532545:chr1:20915172 CDA;FAM43B	DNA	DNA: rs532545:chr1:20915172 CDA;FAM43B	DNA: rs532545:chr1:20915172 CDA;FAM43B
167	7128	rs9427374:chr1:161406056 RP11-122G18.10	DNA	DNA: rs9427374:chr1:161406056 RP11-122G18.10	DNA: rs9427374:chr1:161406056 RP11-122G18.10
168	7129	rs7546640:chr1:236939395 ACTN2;MTR	DNA	DNA: rs7546640:chr1:236939395 ACTN2;MTR	DNA: rs7546640:chr1:236939395 ACTN2;MTR
169	7130	rs1050823:chr6:31323203 HLA-B	DNA	DNA: rs1050823:chr6:31323203 HLA-B	DNA: rs1050823:chr6:31323203 HLA-B
17	7131	rs10405357:chr19:54759666 LILRB5	DNA	DNA: rs10405357:chr19:54759666 LILRB5	DNA: rs10405357:chr19:54759666 LILRB5
170	7132	rs14386:chr3:124481052 ITGB5;KALRN;UMPS	DNA	DNA: rs14386:chr3:124481052 ITGB5;KALRN;UMPS	DNA: rs14386:chr3:124481052 ITGB5;KALRN;UMPS
171	7133	rs9911791:chr17:34820996 TBC1D3G	DNA	DNA: rs9911791:chr17:34820996 TBC1D3G	DNA: rs9911791:chr17:34820996 TBC1D3G
172	7134	rs3760738:chr19:51523897 KLK10	DNA	DNA: rs3760738:chr19:51523897 KLK10	DNA: rs3760738:chr19:51523897 KLK10
173	7135	rs3760775:chr19:5841356 FUT6	DNA	DNA: rs3760775:chr19:5841356 FUT6	DNA: rs3760775:chr19:5841356 FUT6
174	7136	rs6060240:chr20:33694699 EDEM2;RP11-101E14.3	DNA	DNA: rs6060240:chr20:33694699 EDEM2;RP11-101E14.3	DNA: rs6060240:chr20:33694699 EDEM2;RP11-101E14.3
175	7137	rs45552131:chr20:61145681 C20orf166-AS1	DNA	DNA: rs45552131:chr20:61145681 C20orf166-AS1	DNA: rs45552131:chr20:61145681 C20orf166-AS1
176	7138	rs11985815:chr8:145128890 CTD-3065J16.9;CYC1;EXOSC4;GPAA1;HGH1;MAF1;OPLAH;SHARPIN;WDR97	DNA	DNA: rs11985815:chr8:145128890 CTD-3065J16.9;CYC1;EXOSC4;GPAA1;HGH1;MAF1;OPLAH;SHARPIN;WDR97	DNA: rs11985815:chr8:145128890 CTD-3065J16.9;CYC1;EXOSC4;GPAA1;HGH1;MAF1;OPLAH;SHARPIN;WDR97
177	7139	rs74544699:chr4:74734681 CXCL1	DNA	DNA: rs74544699:chr4:74734681 CXCL1	DNA: rs74544699:chr4:74734681 CXCL1
178	7140	rs17775791:chr3:186722362 ST6GAL1	DNA	DNA: rs17775791:chr3:186722362 ST6GAL1	DNA: rs17775791:chr3:186722362 ST6GAL1
179	7141	rs77924615:chr16:20392332 PDILT	DNA	DNA: rs77924615:chr16:20392332 PDILT	DNA: rs77924615:chr16:20392332 PDILT
18	7142	rs2147896:chr10:100148176 PYROXD2	DNA	DNA: rs2147896:chr10:100148176 PYROXD2	DNA: rs2147896:chr10:100148176 PYROXD2
180	7143	rs74020269:chr15:68959137 CORO2B	DNA	DNA: rs74020269:chr15:68959137 CORO2B	DNA: rs74020269:chr15:68959137 CORO2B
181	7144	rs2302041:chr14:73960870 HEATR4;RIOX1;RP1-240K6.3	DNA	DNA: rs2302041:chr14:73960870 HEATR4;RIOX1;RP1-240K6.3	DNA: rs2302041:chr14:73960870 HEATR4;RIOX1;RP1-240K6.3
182	7145	rs72856648:chr4:74361270 AFM;AFP;RASSF6;RP11-622A1.1;RP11-622A1.2	DNA	DNA: rs72856648:chr4:74361270 AFM;AFP;RASSF6;RP11-622A1.1;RP11-622A1.2	DNA: rs72856648:chr4:74361270 AFM;AFP;RASSF6;RP11-622A1.1;RP11-622A1.2
183	7146	rs17863787:chr2:234611094 UGT1A10;UGT1A4;UGT1A5;UGT1A6	DNA	DNA: rs17863787:chr2:234611094 UGT1A10;UGT1A4;UGT1A5;UGT1A6	DNA: rs17863787:chr2:234611094 UGT1A10;UGT1A4;UGT1A5;UGT1A6
184	7147	rs17135257:chr7:52768266 SGO1P2	DNA	DNA: rs17135257:chr7:52768266 SGO1P2	DNA: rs17135257:chr7:52768266 SGO1P2
185	7148	rs2381871:chr9:38426961 IGFBPL1;RP11-403F21.4	DNA	DNA: rs2381871:chr9:38426961 IGFBPL1;RP11-403F21.4	DNA: rs2381871:chr9:38426961 IGFBPL1;RP11-403F21.4
186	7149	rs1250258:chr2:216300185 AC012462.1;FN1	DNA	DNA: rs1250258:chr2:216300185 AC012462.1;FN1	DNA: rs1250258:chr2:216300185 AC012462.1;FN1
187	7150	rs12727754:chr1:227356925 CDC42BPA	DNA	DNA: rs12727754:chr1:227356925 CDC42BPA	DNA: rs12727754:chr1:227356925 CDC42BPA
188	7151	rs12041668:chr1:196663047 CFH;CFHR4;CFHR1;KCNT2;RP4-608O15.3	DNA	DNA: rs12041668:chr1:196663047 CFH;CFHR4;CFHR1;KCNT2;RP4-608O15.3	DNA: rs12041668:chr1:196663047 CFH;CFHR4;CFHR1;KCNT2;RP4-608O15.3
189	7152	rs9262182:chr6:30738042 HCG20;RN7SL353P	DNA	DNA: rs9262182:chr6:30738042 HCG20;RN7SL353P	DNA: rs9262182:chr6:30738042 HCG20;RN7SL353P
19	7153	rs8176722:chr9:136132754 ABO	DNA	DNA: rs8176722:chr9:136132754 ABO	DNA: rs8176722:chr9:136132754 ABO
190	7154	rs3760739:chr19:51538561 KLK12	DNA	DNA: rs3760739:chr19:51538561 KLK12	DNA: rs3760739:chr19:51538561 KLK12
191	7155	rs710446:chr3:186459927 KNG1	DNA	DNA: rs710446:chr3:186459927 KNG1	DNA: rs710446:chr3:186459927 KNG1
192	7156	rs79885333:chr13:67997176 LINC00364	DNA	DNA: rs79885333:chr13:67997176 LINC00364	DNA: rs79885333:chr13:67997176 LINC00364
193	7157	rs706070:chr7:16839086 AGR2	DNA	DNA: rs706070:chr7:16839086 AGR2	DNA: rs706070:chr7:16839086 AGR2
194	7158	rs9766101:chr6:149925690 KATNA1	DNA	DNA: rs9766101:chr6:149925690 KATNA1	DNA: rs9766101:chr6:149925690 KATNA1
195	7159	rs2762353:chr6:25794431 SLC17A1;SLC17A3;SLC17A4	DNA	DNA: rs2762353:chr6:25794431 SLC17A1;SLC17A3;SLC17A4	DNA: rs2762353:chr6:25794431 SLC17A1;SLC17A3;SLC17A4
196	7160	rs34160342:chr15:60728246 ANXA2;ICE2;RORA;RP11-745A24.3	DNA	DNA: rs34160342:chr15:60728246 ANXA2;ICE2;RORA;RP11-745A24.3	DNA: rs34160342:chr15:60728246 ANXA2;ICE2;RORA;RP11-745A24.3
197	7161	rs1573558:chr11:110247797 RP11-347E10.1	DNA	DNA: rs1573558:chr11:110247797 RP11-347E10.1	DNA: rs1573558:chr11:110247797 RP11-347E10.1
198	7162	rs11573590:chr1:45292173 EIF2B3;PTCH2;RNU5D-1;RPS8	DNA	DNA: rs11573590:chr1:45292173 EIF2B3;PTCH2;RNU5D-1;RPS8	DNA: rs11573590:chr1:45292173 EIF2B3;PTCH2;RNU5D-1;RPS8
199	7163	rs704:chr17:26694861 POLDIP2;TMEM199;TNFAIP1;VTN	DNA	DNA: rs704:chr17:26694861 POLDIP2;TMEM199;TNFAIP1;VTN	DNA: rs704:chr17:26694861 POLDIP2;TMEM199;TNFAIP1;VTN
2	7164	rs1801274:chr1:161479745 FCGR2A	DNA	DNA: rs1801274:chr1:161479745 FCGR2A	DNA: rs1801274:chr1:161479745 FCGR2A
20	7165	rs8521:chr11:117067699 PAFAH1B2;PCSK7;RP11-109L13.1;SIDT2;TAGLN	DNA	DNA: rs8521:chr11:117067699 PAFAH1B2;PCSK7;RP11-109L13.1;SIDT2;TAGLN	DNA: rs8521:chr11:117067699 PAFAH1B2;PCSK7;RP11-109L13.1;SIDT2;TAGLN
200	7166	rs17201403:chr6:31888062 AL645922.1;C2;CYP21A2;EHMT2;NELFE;SKIV2L;SLC44A4;XXbac-BPG116M5.17	DNA	DNA: rs17201403:chr6:31888062 AL645922.1;C2;CYP21A2;EHMT2;NELFE;SKIV2L;SLC44A4;XXbac-BPG116M5.17	DNA: rs17201403:chr6:31888062 AL645922.1;C2;CYP21A2;EHMT2;NELFE;SKIV2L;SLC44A4;XXbac-BPG116M5.17
201	7167	rs12618788:chr2:10133284 AC010969.1;GRHL1	DNA	DNA: rs12618788:chr2:10133284 AC010969.1;GRHL1	DNA: rs12618788:chr2:10133284 AC010969.1;GRHL1
202	7168	rs79659787:chr17:72664773 RAB37	DNA	DNA: rs79659787:chr17:72664773 RAB37	DNA: rs79659787:chr17:72664773 RAB37
203	7169	rs3124952:chr9:137771682 FCN2	DNA	DNA: rs3124952:chr9:137771682 FCN2	DNA: rs3124952:chr9:137771682 FCN2
204	7170	rs10139624:chr14:66309615 CTD-2014B16.1	DNA	DNA: rs10139624:chr14:66309615 CTD-2014B16.1	DNA: rs10139624:chr14:66309615 CTD-2014B16.1
205	7171	rs41443245:chr17:67799876 LINC01483	DNA	DNA: rs41443245:chr17:67799876 LINC01483	DNA: rs41443245:chr17:67799876 LINC01483
206	7172	rs16899975:chr5:34999057 AGXT2	DNA	DNA: rs16899975:chr5:34999057 AGXT2	DNA: rs16899975:chr5:34999057 AGXT2
207	7173	rs34064365:chr10:17889596 -	DNA	DNA: rs34064365:chr10:17889596 -	DNA: rs34064365:chr10:17889596 -
208	7174	rs4859580:chr4:76893680 AC110615.1;ART3;CXCL11;CXCL9;NAAA;SDAD1	DNA	DNA: rs4859580:chr4:76893680 AC110615.1;ART3;CXCL11;CXCL9;NAAA;SDAD1	DNA: rs4859580:chr4:76893680 AC110615.1;ART3;CXCL11;CXCL9;NAAA;SDAD1
209	7175	rs199898751:chr3:3141862 IL5RA	DNA	DNA: rs199898751:chr3:3141862 IL5RA	DNA: rs199898751:chr3:3141862 IL5RA
21	7176	rs5030044:chr3:186449122 KNG1;RP11-573D15.8	DNA	DNA: rs5030044:chr3:186449122 KNG1;RP11-573D15.8	DNA: rs5030044:chr3:186449122 KNG1;RP11-573D15.8
210	7177	rs12924274:chr16:76576729 CNTNAP4	DNA	DNA: rs12924274:chr16:76576729 CNTNAP4	DNA: rs12924274:chr16:76576729 CNTNAP4
211	7178	rs200725701:chr1:15814475 CELA2B	DNA	DNA: rs200725701:chr1:15814475 CELA2B	DNA: rs200725701:chr1:15814475 CELA2B
212	7179	rs3827278:chr22:17595915 IL17RA	DNA	DNA: rs3827278:chr22:17595915 IL17RA	DNA: rs3827278:chr22:17595915 IL17RA
213	7180	rs595872:chr19:54763969 LILRB5	DNA	DNA: rs595872:chr19:54763969 LILRB5	DNA: rs595872:chr19:54763969 LILRB5
214	7181	rs868763:chr4:15755905 RP11-442P12.2;TAPT1-AS1	DNA	DNA: rs868763:chr4:15755905 RP11-442P12.2;TAPT1-AS1	DNA: rs868763:chr4:15755905 RP11-442P12.2;TAPT1-AS1
215	7182	rs1454247:chr4:69341579 TMPRSS11E	DNA	DNA: rs1454247:chr4:69341579 TMPRSS11E	DNA: rs1454247:chr4:69341579 TMPRSS11E
216	7183	rs3093956:chr6:31426967 HCP5	DNA	DNA: rs3093956:chr6:31426967 HCP5	DNA: rs3093956:chr6:31426967 HCP5
217	7184	rs73122290:chr2:235846275 AC010148.1;SH3BP4;STK25	DNA	DNA: rs73122290:chr2:235846275 AC010148.1;SH3BP4;STK25	DNA: rs73122290:chr2:235846275 AC010148.1;SH3BP4;STK25
218	7185	rs9641:chr5:80715913 ACOT12;SSBP2	DNA	DNA: rs9641:chr5:80715913 ACOT12;SSBP2	DNA: rs9641:chr5:80715913 ACOT12;SSBP2
2182-54_1	5023	C4A C4B : Complement C4b [SOMA]	SOMA	SOMA: C4A C4B : Complement C4b	SOMA: C4A C4B : Complement C4b
219	7186	rs13894:chr17:7529902 EIF4A1;FXR2;SAT2;SHBG	DNA	DNA: rs13894:chr17:7529902 EIF4A1;FXR2;SAT2;SHBG	DNA: rs13894:chr17:7529902 EIF4A1;FXR2;SAT2;SHBG
2190-55_1	5024	F11 : Coagulation Factor XI [SOMA]	SOMA	SOMA: F11 : Coagulation Factor XI	SOMA: F11 : Coagulation Factor XI
22	7187	rs1859788:chr7:99971834 NYAP1;PILRA;PMS2P1;ZCWPW1	DNA	DNA: rs1859788:chr7:99971834 NYAP1;PILRA;PMS2P1;ZCWPW1	DNA: rs1859788:chr7:99971834 NYAP1;PILRA;PMS2P1;ZCWPW1
220	7188	rs112603388:chr1:214838453 CENPF	DNA	DNA: rs112603388:chr1:214838453 CENPF	DNA: rs112603388:chr1:214838453 CENPF
221	7189	rs61910714:chr16:1260969 CACNA1H;TPSAB1;TPSG1	DNA	DNA: rs61910714:chr16:1260969 CACNA1H;TPSAB1;TPSG1	DNA: rs61910714:chr16:1260969 CACNA1H;TPSAB1;TPSG1
